user_id,is_hoax,total_hoax,is_source_tweet,hashtags_count,retweet_count,favorite_count,mentions_count,user.tweets_count,user.verified,user.followers_count,user.friends_count,hasperiod,number_punct,negativewordcount,positivewordcount,sentimentscore,intensityscore
2803849820,1,4,0,0,0,1,2,4,0,3,121,1,4,0,0,0,1.0000
1202710489,1,1,0,0,0,0,3,1,0,6,15,0,1,0,0,0,1.0000
124883977,1,1,0,0,0,0,2,1,0,2,19,0,2,0,0,0,1.0000
1446258750,1,1,0,0,0,0,3,1,0,8,42,0,2,0,0,0,1.0000
185512977,1,1,0,0,0,0,2,1,0,8,95,0,0,0,0,0,1.0000
2396412966,1,1,0,0,0,0,1,1,0,1,16,0,0,0,0,0,1.0000
2522478190,1,1,0,0,0,0,2,1,0,1,2,0,3,0,0,0,1.0000
253211867,1,1,0,0,0,0,2,1,0,1,7,0,2,0,0,0,1.0000
2805865690,1,1,0,0,0,0,1,1,0,7,36,0,0,0,0,0,1.0000
2813039335,1,1,0,0,0,0,1,1,0,3,40,0,0,0,0,0,1.0000
3084587848,1,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,1.0000
407496438,1,1,0,0,0,1,1,1,0,2,9,0,4,0,0,0,1.0000
541048732,1,1,0,0,0,0,2,1,0,2,4,2,5,0,0,0,1.0000
614532544,1,1,0,0,0,0,1,1,0,0,39,0,0,0,0,0,1.0000
718460834,1,1,0,0,0,0,1,1,0,12,81,0,0,0,0,0,1.0000
2899192880,1,3,0,1,0,0,1,5,0,6,55,0,2,0,0,0,0.6000
2547323635,1,2,0,0,0,0,2,4,0,11,52,1,6,0,0,0,0.5000
141200841,1,1,0,0,0,0,1,2,0,7,29,0,0,0,0,0,0.5000
152230489,1,1,0,0,0,0,3,2,0,3,22,0,1,0,0,0,0.5000
174187855,1,1,0,0,0,0,2,2,0,3,13,0,2,0,0,0,0.5000
222408378,1,1,0,0,0,0,2,2,0,2,1,1,5,0,1,0,0.5000
2542524955,1,1,0,0,0,0,1,2,0,11,21,0,0,0,0,0,0.5000
2576951394,1,1,0,0,0,0,1,2,0,3,20,0,0,0,0,0,0.5000
2683418746,1,1,0,0,0,0,1,2,0,1,2,1,2,0,0,0,0.5000
2687912623,1,1,0,0,0,0,1,2,0,6,26,0,0,0,0,0,0.5000
2785055123,1,1,0,0,0,0,1,2,0,8,41,0,0,0,0,0,0.5000
2851915686,1,1,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0.5000
2860330333,1,1,0,0,0,0,2,2,0,1,4,0,1,0,0,1,0.5000
2901260688,1,1,0,0,0,0,1,2,0,4,19,0,0,0,0,0,0.5000
2915935225,1,1,0,0,0,0,1,2,0,3,11,0,0,0,0,0,0.5000
2947070266,1,1,0,0,0,0,2,2,0,5,46,0,0,0,0,0,0.5000
3114712289,1,1,0,0,0,0,2,2,0,0,0,3,11,0,0,0,0.5000
504885091,1,1,0,0,0,0,1,2,0,9,194,0,0,0,1,1,0.5000
2403657412,1,2,0,0,0,0,1,5,0,0,15,0,1,0,1,0,0.4000
2729806472,1,2,0,0,0,0,1,5,0,2,21,3,4,0,0,0,0.4000
117746126,1,2,0,0,0,0,3,6,0,1,4,2,9,0,0,0,0.3333
2923457556,1,2,0,0,0,0,1,6,0,10,20,0,3,0,0,0,0.3333
1420534482,1,1,0,0,0,0,1,3,0,3,7,0,0,1,0,-1,0.3333
149139048,1,1,0,0,0,0,2,3,0,6,16,0,0,0,0,0,0.3333
1617689252,1,1,0,0,0,0,1,3,0,5,17,1,2,0,0,0,0.3333
1925315930,1,1,0,0,0,0,1,3,0,7,114,3,5,0,1,0,0.3333
2417374160,1,1,0,0,0,0,1,3,0,1,10,0,1,0,0,0,0.3333
2468384811,1,1,0,0,0,0,2,3,0,2,11,0,0,0,0,0,0.3333
